eplenmean,eprewmax,eprewmean,eprewmin,explained_variance,fps,nupdates,policy_entropy,policy_loss,total_timesteps,value_loss
125.0,-4.2578230607568495,-6.004354520626385,-8.815303986103261,0.00033783912658691406,4620,1,1.4189425706863403,0.034061070531606674,2000,0.996445894241333
125.0,-3.2122662477879205,-6.016192789153802,-9.50707189754734,0.019890427589416504,6197,50,1.4168806076049805,0.3741261661052704,100000,0.6354528665542603
125.0,-3.0276350678136827,-6.0095334294501415,-9.334039006100854,0.020584702491760254,6196,100,1.4081206321716309,-0.23383352160453796,200000,0.5923224091529846
125.0,-2.9864675499361644,-5.82867477140009,-9.437638218106805,0.022838830947875977,6229,150,1.420084834098816,-0.5306060910224915,300000,0.675767183303833
125.0,-2.064773529740858,-5.584013701438271,-9.1475429183055,0.03061854839324951,6245,200,1.4180819988250732,0.05801805481314659,400000,0.36602476239204407
125.0,-2.1149185455323347,-5.338939745098014,-9.125565669879434,0.029899418354034424,6253,250,1.4209179878234863,-0.4592263102531433,500000,0.5388808846473694
125.0,-1.3286783835150735,-5.300560593846549,-8.54723787837446,0.03559654951095581,6260,300,1.4176303148269653,0.2598145008087158,600000,0.39948830008506775
125.0,-1.1235231201866283,-5.282823727951415,-8.509576369223183,0.03378981351852417,6268,350,1.425070881843567,0.3479769825935364,700000,0.4841211438179016
125.0,-2.0810882416628482,-5.216620965829879,-8.016454644745018,0.036517441272735596,6261,400,1.4235535860061646,0.10702651739120483,800000,0.3324500620365143
125.0,-1.3470458092013036,-5.183157647281083,-8.079963639807037,0.03838002681732178,6263,450,1.4203097820281982,0.14694465696811676,900000,0.36264491081237793
125.0,-2.1188252300995485,-5.149130870778546,-8.206405649071192,0.04435521364212036,6185,500,1.4158718585968018,-0.14642861485481262,1000000,0.26801809668540955
125.0,-1.1244884208803863,-5.440923972601372,-7.8043876832130685,0.021322667598724365,6196,550,1.4183377027511597,-0.1376703977584839,1100000,0.6146652102470398
125.0,-1.41347003237146,-5.316392137408425,-8.232425164251348,0.04048043489456177,6189,600,1.4205822944641113,0.3102751076221466,1200000,0.40155577659606934
125.0,-1.1897814371211066,-5.0965268217153135,-8.030115753829476,0.04722607135772705,6179,650,1.413887858390808,0.2143852263689041,1300000,0.34510308504104614
125.0,-1.0451860625308773,-5.2542089121527145,-7.9077875662242505,0.04003173112869263,6183,700,1.407226800918579,-0.171949103474617,1400000,0.3298626244068146
