eplenmean,eprewmax,eprewmean,eprewmin,explained_variance,fps,nupdates,policy_entropy,policy_loss,total_timesteps,value_loss
99.75,0.1544482006289645,-2.1025198256339337,-4.202642358116299,-0.0019969940185546875,4321,1,2.8378851413726807,0.5545065999031067,2000,0.5639197826385498
109.27375,1.0902001457160586,-1.011368591976316,-4.902175259749748,0.011312305927276611,4904,50,2.80348801612854,-0.07387632131576538,100000,0.44904375076293945
124.1425,1.1527201363312203,-0.007463368555159278,-1.7289385299505762,0.04239213466644287,4829,100,2.7704854011535645,0.5603444576263428,200000,0.42645105719566345
126.0,0.8988053415489383,0.22423713588000452,-0.8220286530862344,0.05451667308807373,4776,150,2.7253851890563965,0.08331221342086792,300000,0.415886789560318
126.0,0.7313301191927651,0.21932287012157886,-0.3298712539525948,0.09210819005966187,4760,200,2.6918323040008545,0.01994694396853447,400000,0.3235185444355011
126.0,0.555200763188907,0.18504266527840066,-0.22644519423531895,0.08190441131591797,4743,250,2.6604223251342773,0.26181450486183167,500000,0.34645894169807434
126.0,0.5955646288215064,0.20468392920081763,-0.2751228879120595,0.13072216510772705,4732,300,2.643700122833252,-0.12441033869981766,600000,0.2729948163032532
126.0,0.5154567493275868,0.16498461395439548,-0.17671365710975298,0.07834714651107788,4727,350,2.6143784523010254,0.23859548568725586,700000,0.41228216886520386
126.0,0.5477960504274813,0.1636264300980147,-0.16889865132852214,0.08754909038543701,4724,400,2.607421398162842,0.03229755535721779,800000,0.3962215185165405
126.0,0.48760099886395103,0.15882850947541294,-0.220801773911078,0.16574794054031372,4722,450,2.589115858078003,-0.008460141718387604,900000,0.24142682552337646
125.99875,0.5229793094163037,0.1584466444293574,-0.9401455156754516,0.14858311414718628,4722,500,2.576716661453247,0.042732417583465576,1000000,0.3160931468009949
126.0,0.5265088886188463,0.13348490950620231,-0.261992178221732,0.2165706753730774,4721,550,2.567218065261841,-0.12552116811275482,1100000,0.22631408274173737
126.0,0.46209788748332875,0.12514212987881898,-0.14732071382689366,0.20364755392074585,4719,600,2.560551643371582,-0.2318233698606491,1200000,0.21109069883823395
126.0,0.5110849973507895,0.15849266599177006,-0.1985844156859611,0.13596463203430176,4720,650,2.5430498123168945,-0.21274589002132416,1300000,0.33646848797798157
126.0,0.5647479706957359,0.1533270560427101,-0.9522002488102694,0.19757956266403198,4718,700,2.5307021141052246,0.4123370945453644,1400000,0.29307281970977783
126.0,0.5193299843005331,0.14658802491179143,-0.3690288486574536,0.18479984998703003,4717,750,2.520042657852173,0.021841106936335564,1500000,0.2968800663948059
126.0,0.49492029635487617,0.11637118025931975,-0.242246365043307,0.2116086483001709,4718,800,2.5082414150238037,-0.3413827121257782,1600000,0.26435014605522156
126.0,0.5318471548757548,0.09028695537091114,-0.9112098040706109,0.1975346803665161,4718,850,2.4932613372802734,0.2079649269580841,1700000,0.2978151738643646
125.9925,0.5253675779937995,0.16012515784949863,-0.9243279724862751,0.25526630878448486,4719,900,2.4756672382354736,0.2026536911725998,1800000,0.16585654020309448
125.9975,0.5419317988166483,0.1364524850176908,-1.1407617297834711,0.2522581219673157,4720,950,2.4637258052825928,-0.22998227179050446,1900000,0.16542455554008484
125.99875,0.541414931753349,0.14828186245475208,-1.027243998668158,0.23114687204360962,4720,1000,2.4566292762756348,0.08206585794687271,2000000,0.25659626722335815
125.9975,0.49483742956749877,0.11835685949977613,-1.0356994347465796,0.25648218393325806,4719,1050,2.439718008041382,-0.10511935502290726,2100000,0.20633465051651
126.0,0.5188988986736102,0.17844868543142803,-0.09485388797636628,0.20578491687774658,4719,1100,2.4284119606018066,-0.1540619283914566,2200000,0.27856147289276123
125.98875,0.5554131867828259,0.13452232655423743,-1.0365276695605947,0.2874583601951599,4719,1150,2.406026601791382,-0.20300202071666718,2300000,0.16572947800159454
125.99125,0.5693923389003517,0.15395174974986753,-0.9878896221155093,0.23156559467315674,4720,1200,2.3958795070648193,0.0905550867319107,2400000,0.19833260774612427
126.0,0.5661427701406764,0.17251345232632942,-0.14921238451857505,0.2392951250076294,4721,1250,2.381835460662842,-0.16411131620407104,2500000,0.2271459400653839
125.9875,0.5308348711928237,0.09391172323389231,-0.9372142690768418,0.2589094042778015,4719,1300,2.3678934574127197,-0.0952250063419342,2600000,0.21461525559425354
125.97625,0.5151725818846355,0.11050157727503157,-1.0556883076470571,0.2503945231437683,4721,1350,2.3496341705322266,0.10482700914144516,2700000,0.23576423525810242
125.96875,0.431807232418001,0.08342014170638574,-1.1019553772797732,0.14111268520355225,4720,1400,2.3336164951324463,0.05597181245684624,2800000,0.34496206045150757
126.0,0.47808261872340496,0.13225142521900055,-0.23904074940259884,0.1804335117340088,4720,1450,2.3224270343780518,0.06900405138731003,2900000,0.31143853068351746
126.0,0.5287064146818704,0.15024944682587063,-0.17213195379446133,0.2474292516708374,4722,1500,2.3221089839935303,0.18239828944206238,3000000,0.2172333300113678
126.0,0.5211099977842125,0.13086249849463472,-0.22193738395174104,0.2235795259475708,4721,1550,2.3160996437072754,0.4203793406486511,3100000,0.26112860441207886
125.99875,0.5729066329819446,0.15535884886570833,-0.8653215970833799,0.24152374267578125,4721,1600,2.3017561435699463,0.17132335901260376,3200000,0.197422057390213
126.0,0.5693884159058071,0.19429476619903,-0.2033312319876917,0.25166141986846924,4721,1650,2.2992210388183594,-0.14943541586399078,3300000,0.17050372064113617
126.0,0.5407834370327144,0.1550935808730603,-0.2120033612932736,0.3001343011856079,4720,1700,2.290961503982544,-0.39953476190567017,3400000,0.1263844072818756
126.0,0.5211441945045922,0.15212964834442108,-0.16917684001799385,0.25670450925827026,4721,1750,2.285435438156128,-0.46951085329055786,3500000,0.23129846155643463
125.995,0.5164481794217282,0.13462057704371916,-1.0179723816670145,0.2886965274810791,4722,1800,2.2823429107666016,-0.07752260565757751,3600000,0.1719823032617569
125.975,0.5183369749071225,0.09330574302339517,-0.9797829212226784,0.2846924662590027,4722,1850,2.281209945678711,-0.0806962102651596,3700000,0.14773084223270416
125.9925,0.49523259368211187,0.1536842564929977,-0.9291574079828805,0.26790130138397217,4722,1900,2.273336410522461,0.13036715984344482,3800000,0.2186049520969391
125.98875,0.46158929718802333,0.10478035179176871,-1.1378121537457886,0.2394995093345642,4723,1950,2.265237808227539,0.0006277646753005683,3900000,0.196842223405838
125.99125,0.5093122350822413,0.13002794639342816,-0.8847328238867554,0.2838129997253418,4722,2000,2.265599012374878,-0.3190026581287384,4000000,0.19314715266227722
125.99125,0.5148289242326514,0.11965941508672802,-1.0106896839365884,0.2854630947113037,4722,2050,2.2580292224884033,-0.27446630597114563,4100000,0.17942506074905396
126.0,0.47788698121166373,0.12489122702688135,-0.8726620175762837,0.1901034712791443,4723,2100,2.239589214324951,0.1519910842180252,4200000,0.25522521138191223
125.9825,0.5180526777738349,0.14836342074519862,-0.8120257626436357,0.2503417730331421,4724,2150,2.214240074157715,-0.026439623907208443,4300000,0.193538099527359
126.0,0.5995748555254444,0.19308316924190333,-0.19222811906386916,0.2826283574104309,4724,2200,2.1996119022369385,-0.089127317070961,4400000,0.19680306315422058
126.0,0.5761035627422096,0.15555176648420946,-0.24837072820224096,0.27601808309555054,4724,2250,2.1933040618896484,0.09772123396396637,4500000,0.1695951223373413
126.0,0.5697203401803361,0.1679333889218563,-0.1890513209195956,0.3046436905860901,4723,2300,2.1847753524780273,0.023584380745887756,4600000,0.14028269052505493
126.0,0.5401573617376895,0.17110393056073644,-0.20936669481518067,0.2629321217536926,4724,2350,2.1761744022369385,-0.0883212462067604,4700000,0.17809204757213593
125.9975,0.5157188398366185,0.156597064832567,-0.7238403066468457,0.2520290017127991,4725,2400,2.1612534523010254,-0.3823012709617615,4800000,0.19499686360359192
125.99875,0.5650254776157388,0.16735987220489273,-0.8571242063676099,0.2808764576911926,4725,2450,2.1456851959228516,0.27461472153663635,4900000,0.1509968638420105
125.995,0.463560021613317,0.1409905652192893,-0.8632991215516901,0.2734801173210144,4727,2500,2.129300355911255,-0.06930236518383026,5000000,0.13757449388504028
