eprewmax,eprewmean,eprewmin,obs_rms_mean,obs_rms_std,param_noise_stddev,reference_Q_mean,reference_Q_std,reference_action_mean,reference_action_std,reference_actor_Q_mean,reference_actor_Q_std,reference_perturbed_action_mean,reference_perturbed_action_std,rollout/Q_mean,rollout/actions_mean,rollout/actions_std,rollout/episodes,rollout/return_std,total/duration,total/episodes,total/epochs,total/steps,total/steps_per_second,train/loss_actor,train/loss_critic,train/param_noise_distance
-0.0017605407629162073,-0.08462753146886826,-0.10000009089708328,0.0,0.9999999403953552,0.19605920988138417,-1.8624074459075928,0.0008158359560184181,0.28070881962776184,0.3053544759750366,-1.8611022233963013,0.0006478430586867034,0.9999969601631165,6.627547918469645e-06,-0.97092205286026,0.09460129588842392,0.9150550365447998,0.0,0.023848561570048332,353.37150502204895,0.0,1,6250,17.68676848918541,1.855432152748108,0.0008107303292490542,0.21169672906398773
-8.750804408919066e-05,-0.0596889890730381,-0.10000000894069672,0.0,0.9999999403953552,0.12160776493778987,-2.058818817138672,0.014969131909310818,-0.02612353302538395,0.03674035891890526,-1.9788552522659302,2.384185791015625e-07,-0.6895067095756531,0.12168373912572861,-1.4975544214248657,-0.05824197083711624,0.8474610447883606,0.0,0.03505856916308403,740.8379044532776,0.0,2,12500,16.872786779484144,1.9817630052566528,0.000613814452663064,0.6590963006019592
-9.32173861656338e-05,-0.042090024799108505,-0.09714963287115097,0.0,0.9999999403953552,0.08006885308329467,-1.6424236297607422,0.01757211796939373,-0.00883055292069912,0.03196467459201813,-1.5605562925338745,2.384185791015625e-07,-0.06135847419500351,0.10621871054172516,-1.5866378545761108,-0.09220626205205917,0.7828493118286133,0.0,0.03168493136763573,1148.529747724533,0.0,3,18750,16.325219296363457,1.5604820251464844,0.0003703002294059843,0.7924772500991821
-2.6317557058064267e-05,-0.015687108039855957,-0.08269952237606049,0.0,0.9999999403953552,0.0682844203499074,-1.328583002090454,0.01834036037325859,0.005721420980989933,0.001450935611501336,-1.2462103366851807,2.384185791015625e-07,0.3750538229942322,0.08706128597259521,-1.5390821695327759,-0.08602515608072281,0.7055733799934387,0.0,0.018575750291347504,1546.8080139160156,0.0,4,25000,16.162316056734227,1.2482141256332397,0.000304792367387563,0.031033005565404892
-1.1005707165168133e-05,-0.011373387649655342,-0.07525444775819778,0.0,0.9999999403953552,0.060598955937205407,-1.0943866968154907,0.01881401799619198,-0.09081436693668365,0.03296361863613129,-1.0111205577850342,1.1920928955078125e-07,-0.08365899324417114,0.16851136088371277,-1.4562790393829346,-0.07992974668741226,0.6484946608543396,0.0,0.015216808766126633,1950.5248727798462,0.0,5,31250,16.021328636257362,1.0119032859802246,0.000248661293881014,0.5928846597671509
-7.704602467129007e-06,-0.010798065923154354,-0.06048726290464401,0.0,0.9999999403953552,0.05823440555183466,-0.9139883518218994,0.01890690065920353,-0.06816419959068298,0.007021085824817419,-0.8315584659576416,1.7881393432617188e-07,-0.5126010775566101,0.15548175573349,-1.3664484024047852,-0.1051095500588417,0.6022683382034302,0.0,0.01405317336320877,2352.1499950885773,0.0,6,37500,15.942860820229207,0.8305466175079346,0.00020850823784712702,0.11511274427175522
-1.0467673746461514e-05,-0.011179054155945778,-0.05521755665540695,0.0,0.9999999403953552,0.057086957702023974,-0.7724776268005371,0.018466999754309654,-0.06816419959068298,0.007021085824817419,-0.6928800344467163,5.960464477539063e-08,-0.33188265562057495,0.11994269490242004,-1.2795029878616333,-0.1270814687013626,0.5658613443374634,0.0,0.011260991916060448,2749.3747441768646,0.0,7,43750,15.912708914149247,0.6915291547775269,0.00015139172319322824,0.2785364091396332
-9.075478857312191e-08,-0.008102220483124256,-0.038992274552583694,0.0,0.9999999403953552,0.055962119107954095,-0.6599143147468567,0.018885048106312752,-0.06816419959068298,0.007021085824817419,-0.5790318250656128,1.1920928955078125e-07,-0.25959885120391846,0.04890383780002594,-1.1991312503814697,-0.13540346920490265,0.5348820090293884,0.0,0.009379294700920582,3144.942472934723,0.0,8,50000,15.898542002055187,0.5884044766426086,0.00013974026660434902,0.3766660690307617
-1.1652898592728889e-06,-0.009430723264813423,-0.04239600524306297,0.0,0.9999999403953552,0.05940491710342653,-0.5842440128326416,0.018719492480158806,-0.11753129214048386,0.05381897836923599,-0.5051254630088806,5.960464477539063e-08,-0.2911769151687622,0.08435748517513275,-1.1265909671783447,-0.1282244771718979,0.5144357085227966,0.0,0.010523452423512936,3544.597426176071,0.0,9,56250,15.869221024821082,0.507716715335846,0.0001215672746184282,0.0781126320362091
-4.576498758979142e-05,-0.012002780102193356,-0.0724482387304306,0.0,0.9999999403953552,0.06305951655006926,-0.5177411437034607,0.01882500760257244,-0.11753129214048386,0.05381897836923599,-0.43792426586151123,5.960464477539063e-08,-0.24976438283920288,0.046647362411022186,-1.0615460872650146,-0.13252298533916473,0.49741074442863464,0.0,0.015754863619804382,3940.8890087604523,0.0,10,62500,15.859365706840457,0.44706621766090393,0.00011888190783793107,0.3541406989097595
-1.4918806300556753e-05,-0.012977931648492813,-0.051516737788915634,0.0,0.9999999403953552,0.060598955937205407,-0.4708077013492584,0.0172310508787632,-0.11753129214048386,0.05381897836923599,-0.39532849192619324,0.0,-0.20450587570667267,0.11535812169313431,-1.0035076141357422,-0.14209279417991638,0.4821808934211731,0.0,0.013661555014550686,4334.371199131012,0.0,11,68750,15.861585646790825,0.3988158404827118,0.00010771440429380164,0.14865995943546295
-1.1721348528226372e-05,-0.009730719029903412,-0.04728834331035614,0.0,0.9999999403953552,0.06432701283272566,-0.4090462327003479,0.013778961263597012,-0.11753129214048386,0.05381897836923599,-0.3448740541934967,5.960464477539063e-08,-0.374697208404541,0.1492684781551361,-0.9510998129844666,-0.14336110651493073,0.46817517280578613,0.0,0.011472524143755436,4729.2985191345215,0.0,12,75000,15.858588688481705,0.35044795274734497,7.609972089994699e-05,0.2547070384025574
-3.054775152122602e-05,-0.008938883431255817,-0.04761730507016182,0.0,0.9999999403953552,0.05940491710342653,-0.3404541313648224,0.015028431080281734,-0.11753129214048386,0.05381897836923599,-0.29761365056037903,2.9802322387695312e-08,-0.46461665630340576,0.0777883529663086,-0.9029454588890076,-0.14672130346298218,0.45458516478538513,0.0,0.010730057954788208,5128.470752239227,0.0,13,81250,15.842929388750843,0.3003982603549957,8.624236943433061e-05,0.16006867587566376
-3.317781192890834e-06,-0.010313186794519424,-0.04996340721845627,0.0,0.9999999403953552,0.057086957702023974,-0.2895473837852478,0.018626835197210312,-0.11753129214048386,0.05381897836923599,-0.2543189525604248,5.960464477539063e-08,-0.38119974732398987,0.08831595629453659,-0.8583024144172668,-0.14947549998760223,0.4437345266342163,0.0,0.01206210907548666,5524.035394191742,0.0,14,87500,15.839869543921107,0.25821369886398315,6.984501669649035e-05,0.0939277708530426
-2.2814551812189166e-06,-0.00966714695096016,-0.0636635273694992,0.0,0.9999999403953552,0.06305951655006926,-0.2715924084186554,0.019367195665836334,-0.09787339717149734,0.011441320180892944,-0.23210126161575317,0.000164348806720227,0.019728776067495346,0.034991923719644547,-0.8172372579574585,-0.15016503632068634,0.4341914653778076,0.0,0.01290878839790821,5918.243250370026,0.0,15,93750,15.840849392957695,0.228648841381073,4.878463732893579e-05,0.09776120632886887
-2.7691435207088944e-06,-0.006776358000934124,-0.044898923486471176,0.0,0.9999999403953552,0.06305951655006926,-0.23722365498542786,0.016812754794955254,-0.07043258845806122,0.0039757294580340385,-0.19705317914485931,1.4901161193847656e-08,0.007188013754785061,0.04488018900156021,-0.7795306444168091,-0.13835744559764862,0.4277525842189789,0.0,0.009687044657766819,6314.568568468094,0.0,16,100000,15.836394666668394,0.20032420754432678,5.365033939597197e-05,0.03457040712237358
-1.718149724183604e-05,-0.006478436756879091,-0.04090670123696327,0.0,0.9999999403953552,0.06561998579066344,-0.2133096605539322,0.013710292056202888,-0.07043258845806122,0.0039757294580340385,-0.17054244875907898,2.9802322387695312e-08,-0.07277271896600723,0.07538715749979019,-0.7447409629821777,-0.13258767127990723,0.4200681447982788,0.0,0.008404689840972424,6709.471042871475,0.0,17,106250,15.835823617256096,0.17579707503318787,4.557201100396924e-05,0.04685651510953903
-3.569212640286423e-05,-0.008929791860282421,-0.041196852922439575,0.0,0.9999999403953552,0.0682844203499074,-0.20811358094215393,0.013153904117643833,-0.07043258845806122,0.0039757294580340385,-0.16138771176338196,1.4901161193847656e-08,0.6657648086547852,0.04155806452035904,-0.7125546932220459,-0.12440194189548492,0.4156225025653839,0.0,0.010798649862408638,7108.500639677048,0.0,18,112500,15.826122230624302,0.15580067038536072,4.442949648364447e-05,0.0971163660287857
