eplenmean,eprewmax,eprewmean,eprewmin,explained_variance,fps,nupdates,policy_entropy,policy_loss,total_timesteps,value_loss
125.0,-3.883130692872854,-5.432750657842298,-8.501743660202617,-0.007777810096740723,4924,1,1.4189425706863403,0.008516602218151093,2000,1.740332007408142
125.0,-3.0106221573569476,-5.95033805573524,-9.42271328532699,0.02600276470184326,5965,50,1.404146432876587,-0.013174846768379211,100000,0.4747938811779022
125.0,-2.892370285397887,-5.827543970576715,-9.292909472613799,0.03071141242980957,5948,100,1.393312692642212,-0.08175830543041229,200000,0.5392970442771912
125.0,-2.180578582160468,-5.730442118401648,-9.033915047348097,0.029826223850250244,5924,150,1.3897422552108765,0.5615023970603943,300000,0.6929565668106079
125.0,-1.3290861588602179,-5.344436272623236,-8.42896423049203,0.0370064377784729,5932,200,1.38115394115448,-0.2287982553243637,400000,0.43596339225769043
125.0,-1.1064792675371808,-5.296065246182275,-8.39809928126904,0.030924856662750244,5931,250,1.3867464065551758,0.10455100983381271,500000,0.5279040336608887
125.0,-0.01824629611256533,-5.476847765570446,-8.22159036732722,0.022767961025238037,5932,300,1.3860979080200195,0.05229870602488518,600000,0.6020570993423462
125.0,-0.03227457351240694,-5.537758858342411,-7.874698568817757,0.038538336753845215,5933,350,1.3836392164230347,-0.34910035133361816,700000,0.43637359142303467
125.0,-0.03643604402506705,-5.6744576023438,-7.95183874549733,0.01472485065460205,5933,400,1.38567054271698,0.04954508692026138,800000,0.7382604479789734
125.0,-1.1071414008311529,-5.548067967875849,-8.22573347318294,0.01883476972579956,5936,450,1.3922208547592163,-0.2344994992017746,900000,0.7333593964576721
125.0,-1.963668260460453,-5.842214692357443,-7.816989896861777,0.016466498374938965,5914,500,1.398193120956421,-0.04954346641898155,1000000,0.684259295463562
125.0,-0.02134521430130354,-5.613097374931904,-7.7072935831892995,0.02941107749938965,5917,550,1.397156000137329,0.008278392255306244,1100000,0.46624428033828735
125.0,-0.03928217115737059,-5.813114672168926,-7.86238222843976,0.0377616286277771,5921,600,1.3956494331359863,-0.2230340838432312,1200000,0.2526276707649231
125.0,-0.03134727236147646,-5.261902738580631,-7.942803510958838,0.03737282752990723,5921,650,1.3993808031082153,0.18758806586265564,1300000,0.37074047327041626
125.0,-0.02256439815969034,-5.453250831232279,-7.978786273337776,0.03674161434173584,5878,700,1.400937795639038,-0.013728693127632141,1400000,0.3879909813404083
125.0,-1.1055669699725632,-5.1665698030343,-7.964931712535053,0.037007808685302734,5864,750,1.3944486379623413,0.17503991723060608,1500000,0.40166378021240234
125.0,-0.566392038210591,-5.281884733753386,-7.835601938918698,0.0324862003326416,5867,800,1.3911161422729492,0.09004004299640656,1600000,0.386781245470047
125.0,-2.218340794968229,-6.182571783705914,-7.76880499029727,0.025975942611694336,5871,850,1.3881834745407104,0.07468349486589432,1700000,0.5083796977996826
125.0,-0.03459345131260514,-5.256720013286303,-7.857586189520413,0.03818249702453613,5878,900,1.3798125982284546,-0.026786373928189278,1800000,0.23838162422180176
125.0,-0.013127778611296215,-5.273498321533423,-7.846378525051342,0.027056455612182617,5883,950,1.3767423629760742,0.20861172676086426,1900000,0.46700331568717957
125.0,-0.008054081969300813,-5.521959262913338,-7.725680283922982,0.034722328186035156,5886,1000,1.3653876781463623,0.02469683811068535,2000000,0.40330153703689575
125.0,-0.021273392914719972,-5.371495813075643,-8.175158123599806,0.032810986042022705,5890,1050,1.3512972593307495,-0.30558544397354126,2100000,0.46095192432403564
125.0,-0.02389082309172952,-5.033451493381573,-7.718840938694241,0.04166299104690552,5893,1100,1.3513582944869995,-0.3636733889579773,2200000,0.29442283511161804
125.0,-0.02127570528349218,-5.207962951742027,-7.732862341064648,0.034419357776641846,5896,1150,1.353210687637329,-0.279597669839859,2300000,0.3481348156929016
125.0,-0.03130644377846815,-5.067357683604138,-7.729478064084486,0.03882420063018799,5897,1200,1.3525108098983765,-0.49446961283683777,2400000,0.37455421686172485
125.0,-0.01554466539713762,-5.060779143373582,-7.764432984125471,0.027307450771331787,5899,1250,1.3451952934265137,0.24573107063770294,2500000,0.5116629600524902
125.0,-0.015075477306063635,-4.938733181043437,-7.78723425565437,0.04012805223464966,5902,1300,1.3407093286514282,-0.05451817065477371,2600000,0.16572672128677368
125.0,-0.010477479844801112,-4.768409584996394,-7.838259707661828,0.035361289978027344,5903,1350,1.3438529968261719,0.12157514691352844,2700000,0.3510649502277374
125.0,-0.008460198608782133,-4.488734789972679,-7.994802241624016,0.03888368606567383,5906,1400,1.3442267179489136,-0.2727910876274109,2800000,0.20899008214473724
125.0,-0.008801233543655024,-4.241818318551526,-7.800039614213756,0.0376010537147522,5908,1450,1.3400180339813232,-0.11250213533639908,2900000,0.14358142018318176
125.0,-0.007202173875215148,-4.068058422950119,-7.7761389703027515,0.04060333967208862,5910,1500,1.3353300094604492,0.3750913143157959,3000000,0.24800732731819153
