misc/approxkl,misc/clipfrac,misc/explained_variance,misc/fps,misc/nupdates,misc/policy_entropy,misc/policy_loss,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,misc/value_loss,stats/eplenmean,stats/eprewmax,stats/eprewmean,stats/eprewmin
0.0024179574,0.022875,-0.0031991004943847656,8092,1,1.4146187,92.29914,125,0.2471398115158081,2000,4846.2744,125.0,-4.035320824247846,-6.2250114189965045,-9.127134484271583
0.004298661,0.058124997,0.0014294981956481934,11646,50,1.643405,80.61056,6250,8.539441438391805,100000,3815.6123,125.0,-3.0467798999083464,-6.267726720567922,-9.365173600785115
0.0054939664,0.0765,0.002473294734954834,11019,100,1.8955736,74.88259,12500,17.737530510872602,200000,3217.2026,125.0,-3.65452636143653,-6.286289944928317,-9.216188618072929
0.0020238566,0.013874999,0.0011696219444274902,10949,150,2.0863066,60.78484,18750,27.029231464490294,300000,2273.3838,125.0,-3.5260291477726624,-6.322453018148537,-9.373086299022058
0.0026310289,0.02,0.0001736283302307129,10521,200,2.3213525,61.86275,25000,36.332945831120014,400000,2185.9932,125.0,-3.817788591548603,-6.451343768225269,-9.358370492145216
0.0030268824,0.024,0.02883976697921753,10400,250,2.505533,48.485004,31250,45.636745277792215,500000,1508.3829,125.0,-3.049092546697365,-6.2524189648458774,-9.321411350532632
0.003212831,0.032874998,0.13461357355117798,10799,300,2.6802433,46.07539,37500,54.92477055452764,600000,1362.7358,125.0,-3.027452485663596,-6.216517108932948,-9.243626033991577
0.00026041197,0.0,0.3004184365272522,10760,350,2.7313795,37.978073,43750,64.21339803002775,700000,989.5111,125.0,-3.0111557698956597,-6.180011762865963,-9.154724556484787
0.00075942214,0.001375,0.39541345834732056,10433,400,2.7616758,30.5299,50000,73.47860681079328,800000,663.76465,125.0,-3.1071756829778976,-6.217004855961702,-9.096955068213095
0.00023112225,0.0,0.5856096744537354,10418,450,2.7837844,25.21599,56250,82.77435932308435,900000,491.78912,125.0,-2.981753156142812,-6.192373564686895,-9.152956308636604
9.888946e-05,0.0,0.8498133718967438,10855,500,2.7720964,4.6004705,62500,92.09416790306568,1000000,186.686,125.0,-3.034323917158382,-6.05655036242222,-9.193617917050174
0.00034707956,0.0005,0.9121348187327385,10452,550,2.6722624,-9.169765,68750,101.35801947489381,1100000,254.7157,125.0,-2.051751770214727,-5.29570740790278,-9.373281086404294
0.0031614588,0.032125,0.8590141385793686,11252,600,2.1461098,-17.058414,75000,110.56581725366414,1200000,257.4611,125.0,-0.008568931337213282,-2.2785201091314686,-9.076631840057763
0.0026278242,0.0195,0.9882606407627463,10679,650,1.8592993,-4.2336135,81250,119.81960679031909,1300000,20.381214,125.0,-0.005784326314920225,-1.4096469601776551,-7.463378613721244
0.008989976,0.116125,0.9350686073303223,10992,700,1.7641119,4.470488,87500,129.04307478293777,1400000,131.44049,125.0,-0.006300371315707617,-1.3309550063130706,-4.1332537737865165
0.012197515,0.14587499,0.9855085741728544,10663,750,1.7586629,0.5423107,93750,138.334577774629,1500000,13.3101015,125.0,-0.006188093529616947,-1.2788822488277263,-3.9512369498992377
0.0070422473,0.08674999,0.9963917618151754,10911,800,1.8579813,0.33561024,100000,147.5477269347757,1600000,5.373663,125.0,-0.005343387814188614,-1.2279705959199294,-4.096612555108829
0.002637136,0.023375,0.9981163983466104,10884,850,1.7582603,-0.24645145,106250,156.76388745941222,1700000,1.3475968,125.0,-0.00535144480676224,-1.239342717733366,-3.2481568485291334
