eprewmax,eprewmean,eprewmin,obs_rms_mean,obs_rms_std,param_noise_stddev,reference_Q_mean,reference_Q_std,reference_action_mean,reference_action_std,reference_actor_Q_mean,reference_actor_Q_std,reference_perturbed_action_mean,reference_perturbed_action_std,rollout/Q_mean,rollout/actions_mean,rollout/actions_std,rollout/episodes,rollout/return_std,total/duration,total/episodes,total/epochs,total/steps,total/steps_per_second,train/loss_actor,train/loss_critic,train/param_noise_distance
-0.013031335547566414,-6.244147777557373,-8.229778289794922,-0.20424430072307587,1.6675180196762085,0.1454608210542347,-136.1751708984375,42.78276062011719,-0.708929181098938,0.7001473903656006,-135.19944763183594,43.78602600097656,-0.7743505835533142,0.6000504493713379,-73.51634979248047,-0.6378992795944214,0.7246186137199402,0.0,1.4769301414489746,243.8017704486847,0.0,1,6250,25.635580859391247,132.3723602294922,8.121933937072754,0.28096717596054077
-0.0004935659235343337,-3.21243953704834,-8.154043197631836,-0.020878905430436134,1.5932644605636597,0.09022358778821578,-175.5321807861328,62.23815155029297,0.2535647749900818,0.9544461369514465,-171.04849243164062,62.35730743408203,0.14153820276260376,0.9157741665840149,-77.05510711669922,-0.4139648973941803,0.7987757921218872,0.0,2.396022319793701,491.5746703147888,0.0,2,12500,25.428486768847137,120.28471374511719,20.948827743530273,0.6596592664718628
-0.0012573821004480124,-1.2818752527236938,-7.468923568725586,0.05028456822037697,1.4501309394836426,0.05940491710342653,-151.3644561767578,61.70317077636719,0.13161812722682953,0.9755291938781738,-147.17311096191406,60.378387451171875,-0.0036995315458625555,0.972539484500885,-66.76958465576172,-0.18978148698806763,0.8705881834030151,0.0,0.8336803317070007,741.8807854652405,0.0,3,18750,25.273602399935047,91.61920928955078,10.564312934875488,0.24782513082027435
-0.006785946432501078,-1.2021472454071045,-3.121790885925293,0.09523195028305054,1.350712776184082,0.04495975420378481,-161.1756591796875,49.761714935302734,0.006281417794525623,0.9804014563560486,-157.6246337890625,49.56837844848633,0.07676678150892258,0.9804772138595581,-63.36495590209961,-0.09599971026182175,0.8944272398948669,0.0,0.6839116811752319,990.829265832901,0.0,4,25000,25.231390373784276,84.44416046142578,8.114412307739258,0.22678394615650177
-0.0023143773432821035,-1.1568632125854492,-3.023165225982666,0.12268302589654922,1.283294677734375,0.04235412222587577,-166.24021911621094,57.91935348510742,0.06440040469169617,0.9860727190971375,-162.27052307128906,57.489070892333984,0.06173086538910866,0.9731858372688293,-60.37620544433594,-0.06878767907619476,0.8984528183937073,0.0,0.6604290008544922,1239.4535818099976,0.0,5,31250,25.212723137533747,76.13972473144531,9.675086975097656,0.19790971279144287
-0.005785081069916487,-1.1799767017364502,-3.035698652267456,0.15299709141254425,1.2350149154663086,0.04320544008261588,-163.40257263183594,57.42353057861328,0.08890542387962341,0.967664361000061,-159.45079040527344,56.9844970703125,0.10403075814247131,0.9657732248306274,-57.20976638793945,-0.09063435345888138,0.9047431349754333,0.0,0.6466536521911621,1490.2569046020508,0.0,6,37500,25.163446573672324,62.970428466796875,9.935027122497559,0.27295711636543274
-0.01146874949336052,-1.1900396347045898,-3.0750060081481934,0.167208731174469,1.1985810995101929,0.040701478966889394,-156.86231994628906,59.23426055908203,0.1431511789560318,0.9785327911376953,-152.5891571044922,58.55851745605469,0.16727983951568604,0.9715595245361328,-53.916080474853516,-0.08465664088726044,0.9117521643638611,0.0,0.6611887812614441,1779.1703448295593,0.0,7,43750,24.590113098018815,53.21670913696289,10.85692024230957,0.31745871901512146
-0.0061384993605315685,-1.1502680778503418,-2.9995460510253906,0.17689059674739838,1.1688958406448364,0.0368465179454358,-150.1103973388672,60.63777160644531,0.16046781837940216,0.9681063890457153,-146.33213806152344,59.835845947265625,0.14744094014167786,0.9766225218772888,-50.623069763183594,-0.07385694980621338,0.9167925715446472,0.0,0.662997841835022,2057.7507994174957,0.0,8,50000,24.29837471775198,45.34148406982422,9.697602272033691,0.2969856262207031
-0.0038759049493819475,-1.1491340398788452,-3.022399425506592,0.18665629625320435,1.1450068950653076,0.03540877950819716,-147.77874755859375,61.29316329956055,0.1617990881204605,0.9739178419113159,-143.63607788085938,60.43771743774414,0.15726202726364136,0.9777701497077942,-47.74067687988281,-0.06572727859020233,0.9200319051742554,0.0,0.6637186408042908,2321.942005634308,0.0,9,56250,24.22541125639942,39.81282043457031,7.516434192657471,0.2096712589263916
-0.005033082794398069,-1.1613322496414185,-3.01997971534729,0.1948203295469284,1.1248722076416016,0.03612049597631192,-145.8390350341797,60.356719970703125,0.05596807971596718,0.981666624546051,-141.9345245361328,59.659027099609375,0.20294862985610962,0.963237464427948,-45.23928451538086,-0.0707901120185852,0.9194572567939758,0.0,0.6572683453559875,2577.6216938495636,0.0,10,62500,24.247157815722378,37.3745002746582,7.968018054962158,0.11571838706731796
-0.011177296750247478,-1.158908486366272,-3.0101113319396973,0.19756333529949188,1.1083539724349976,0.03269941380439557,-140.98226928710938,58.01947784423828,0.15570563077926636,0.9714395999908447,-137.0869598388672,57.24028396606445,0.05687841773033142,0.983911395072937,-42.983795166015625,-0.05458188056945801,0.9238693118095398,0.0,0.659949541091919,2830.5230407714844,0.0,11,68750,24.288797162117984,24.201566696166992,7.000431060791016,0.29437217116355896
-0.012722505256533623,-1.1650269031524658,-3.0143611431121826,0.19839805364608765,1.0945277214050293,0.03540877950819716,-138.8145751953125,59.92243957519531,-0.0407961942255497,0.9702189564704895,-136.0528564453125,58.938316345214844,0.06349379569292068,0.9708536267280579,-40.972381591796875,-0.03825301676988602,0.9277950525283813,0.0,0.6615728735923767,3083.9554274082184,0.0,12,75000,24.31941763277384,17.86168670654297,6.183871269226074,0.0709899514913559
-0.013738878071308136,-1.140626072883606,-2.995677947998047,0.2007741779088974,1.0828572511672974,0.03911332127856146,-135.82864379882812,59.61463928222656,0.12152843922376633,0.9697659015655518,-133.25645446777344,58.56735610961914,0.09503259509801865,0.9718098640441895,-39.139976501464844,-0.0202933382242918,0.9312343001365662,0.0,0.6576982140541077,3339.5791335105896,0.0,13,81250,24.329413004383404,17.93810272216797,4.800008773803711,0.2085907757282257
