eplenmean,eprewmax,eprewmean,eprewmin,explained_variance,fps,nupdates,policy_entropy,policy_loss,total_timesteps,value_loss
125.0,-3.1059990688577623,-5.621805337537995,-7.580536521037657,0.0006557106971740723,4843,1,1.4189425706863403,0.4462331235408783,2000,1.2638581991195679
125.0,-3.0272490421864333,-5.934896578682806,-9.374762789607539,0.03169947862625122,6132,50,1.408438801765442,0.45298904180526733,100000,0.5095072388648987
125.0,-3.0042244787404764,-5.715809345493069,-9.306037933891522,0.03448343276977539,6142,100,1.4156805276870728,0.471018522977829,200000,0.4692552983760834
125.0,-2.9944876049842817,-5.5784134590771695,-9.500693860279076,0.039836108684539795,6148,150,1.4071459770202637,0.24137884378433228,300000,0.3261582553386688
125.0,-2.05157040280174,-4.698530342890345,-8.360012767639214,0.046711742877960205,6154,200,1.4037163257598877,-0.02743917517364025,400000,0.22605742514133453
125.0,-0.012136130774165336,-3.002862637219897,-6.4409082520416705,0.048637330532073975,6158,250,1.3840240240097046,-0.252316415309906,500000,0.08138071745634079
125.0,-0.007717944938399817,-2.108210574944577,-5.646153283962411,0.05616861581802368,6159,300,1.3683754205703735,-0.21396875381469727,600000,0.06458538770675659
125.0,-0.004521466418358978,-1.8218060663523792,-5.47309598674596,0.06037557125091553,6154,350,1.3494783639907837,0.1416192650794983,700000,0.03930123150348663
125.0,-0.003443230453639653,-1.7063875973083822,-4.551330392838403,0.061799824237823486,6155,400,1.343355655670166,-0.14876924455165863,800000,0.027346907183527946
125.0,-0.006840233958591601,-1.795839716586183,-5.626860227358523,0.05947345495223999,6136,450,1.3292876482009888,-0.011345962062478065,900000,0.03685614839196205
125.0,-0.005744591756377456,-1.759617231354185,-6.2630283550246615,0.05510306358337402,6139,500,1.3180936574935913,0.3027392625808716,1000000,0.07653215527534485
125.0,-0.00618193112725512,-2.218872879614885,-7.539791063755547,0.03511631488800049,6144,550,1.318561315536499,-0.3537922501564026,1100000,0.21025046706199646
125.0,-0.004170156482947576,-2.616116717116719,-7.1639441816173886,0.05147820711135864,6148,600,1.3166292905807495,-0.6199758052825928,1200000,0.28115710616111755
125.0,-0.008785010827499476,-1.557002358687547,-4.674364287242348,0.06717312335968018,6149,650,1.304598331451416,-0.0822102278470993,1300000,0.08698475360870361
125.0,-0.016006060301106954,-4.1968052876097985,-8.158327039461398,0.02895873785018921,6140,700,1.3008325099945068,0.13033035397529602,1400000,0.18826335668563843
125.0,-0.006435921931447711,-2.4636709626096676,-7.929456985989293,0.05570781230926514,6141,750,1.2953498363494873,-0.21214966475963593,1500000,0.055411070585250854
125.0,-0.0055445150875601135,-1.8115812312459914,-5.861327713802407,0.050263166427612305,6096,800,1.2986851930618286,0.17033813893795013,1600000,0.16101646423339844
125.0,-0.005012588787526646,-2.509786173004553,-6.619103144744054,0.056180715560913086,6101,850,1.2946784496307373,-0.03192208334803581,1700000,0.046517353504896164
125.0,-0.00432520874177643,-1.7184795331268299,-5.33563018386526,0.052598774433135986,6106,900,1.2822473049163818,0.06569202989339828,1800000,0.10391794145107269
125.0,-0.008097710252053966,-1.5214289201314162,-4.415224515102347,0.06727302074432373,6111,950,1.2829710245132446,-0.08140326291322708,1900000,0.04714099317789078
125.0,-0.003926436707092931,-1.334082717768261,-4.759073556763087,0.06503945589065552,6115,1000,1.28440260887146,0.15188132226467133,2000000,0.03182767331600189
125.0,-0.004051598540179352,-1.4268067206305302,-4.636394029758078,0.06349772214889526,6118,1050,1.2718805074691772,-0.12168251723051071,2100000,0.02450910396873951
125.0,-0.008588311913129261,-1.6256776966458069,-5.224097194465155,0.058421552181243896,6122,1100,1.265990972518921,-0.5060378909111023,2200000,0.20396330952644348
125.0,-0.005606489955886348,-1.5641303963006674,-5.4081596500093605,0.061240315437316895,6126,1150,1.2695624828338623,0.059586334973573685,2300000,0.018772857263684273
125.0,-0.0046630499431067444,-1.508601355585742,-4.404577966723284,0.06484490633010864,6129,1200,1.2647515535354614,-0.02119401842355728,2400000,0.014692764729261398
125.0,-0.0038484694622265823,-1.5073957567598653,-4.323561002023224,0.06821203231811523,6132,1250,1.2742034196853638,0.1452556699514389,2500000,0.042117271572351456
125.0,-0.005444336471808766,-1.3151886964635502,-4.834114980999419,0.07259988784790039,6135,1300,1.2715758085250854,0.037163447588682175,2600000,0.011875160038471222
125.0,-0.0036888435251322695,-1.294367361755367,-3.572288247429783,0.06684863567352295,6137,1350,1.2760646343231201,0.13370022177696228,2700000,0.019152117893099785
125.0,-0.004693340569355398,-1.3292203933864455,-3.932977404456637,0.06826406717300415,6139,1400,1.2761871814727783,0.04389895498752594,2800000,0.012211419641971588
125.0,-0.009003662851816188,-1.462169340395391,-4.360961021386298,0.05799967050552368,6141,1450,1.2684026956558228,-0.09237176179885864,2900000,0.05696187540888786
125.0,-0.006164557476997176,-1.433369991957955,-4.5927278541717875,0.06434541940689087,6142,1500,1.2692879438400269,0.06618703156709671,3000000,0.020979732275009155
125.0,-0.0035691927883418043,-1.3307635975939376,-4.224364206120999,0.06882888078689575,6144,1550,1.2689392566680908,0.07867791503667831,3100000,0.01648862101137638
125.0,-0.004015689152351319,-1.383555508090295,-4.806679645175419,0.061002910137176514,6143,1600,1.275268316268921,-0.08985871821641922,3200000,0.042263131588697433
125.0,-0.004516311507459399,-2.427013060750924,-6.8052898201571805,0.05955779552459717,6145,1650,1.2730406522750854,-0.0438823401927948,3300000,0.01767801307141781
125.0,-0.004234449712856185,-3.230267309012712,-8.114862349063385,0.028071820735931396,6147,1700,1.2879356145858765,0.2532358765602112,3400000,0.19643999636173248
125.0,-0.027591552248845786,-4.11238768975442,-8.254430178443593,0.03147763013839722,6126,1750,1.2940680980682373,-0.36720556020736694,3500000,0.17022281885147095
125.0,-0.005088176250076637,-2.326874313920292,-8.023008794509966,0.05138343572616577,6121,1800,1.284719705581665,-0.11458541452884674,3600000,0.08077897131443024
125.0,-0.00553356264242232,-1.4473084187306966,-4.499822380677421,0.06449180841445923,6122,1850,1.2816587686538696,0.07501836121082306,3700000,0.015602477826178074
125.0,-0.0038803485333697707,-1.3877070501683693,-4.08801487345942,0.06562060117721558,6123,1900,1.2756019830703735,0.24124179780483246,3800000,0.05174335464835167
125.0,-0.006910218508973235,-1.5287440583747682,-5.046562418973982,0.06343334913253784,6123,1950,1.2647373676300049,0.19512149691581726,3900000,0.042662009596824646
125.0,-0.0031599768060059943,-1.4959519225089348,-4.515076835575054,0.06488966941833496,6123,2000,1.2545260190963745,0.16195638477802277,4000000,0.02752777189016342
125.0,-0.004355159771433267,-1.428404690104021,-4.103060836074974,0.06625556945800781,6124,2050,1.2374845743179321,0.1073346808552742,4100000,0.024026425555348396
125.0,-0.004773569254099418,-1.4978496432132828,-5.1674554812993545,0.06802177429199219,6125,2100,1.2309234142303467,-0.07911864668130875,4200000,0.015954824164509773
125.0,-0.00515205941845164,-1.4815352771834185,-4.751281982761362,0.06735759973526001,6125,2150,1.2266056537628174,-0.042863138020038605,4300000,0.010725267231464386
125.0,-0.007436869301476753,-1.3445496535084325,-4.219127686309742,0.06620794534683228,6127,2200,1.2263590097427368,-0.17175450921058655,4400000,0.03852217644453049
125.0,-0.008138521893887838,-1.4739291211127294,-5.3350167967384765,0.06950223445892334,6129,2250,1.2316714525222778,0.03731083124876022,4500000,0.013731421902775764
125.0,-0.007100281824519135,-1.6744235663105946,-6.436259441337499,0.07197558879852295,6130,2300,1.216166377067566,0.21831341087818146,4600000,0.05936339497566223
125.0,-0.006274418062562067,-1.467206992050118,-4.43977310308297,0.06426632404327393,6131,2350,1.2064242362976074,0.03455733507871628,4700000,0.0053516654297709465
125.0,-0.003998590371057882,-1.325281331563627,-5.191058018792421,0.06050395965576172,6132,2400,1.2022738456726074,0.3108559548854828,4800000,0.1518145501613617
125.0,-0.0032178465690882434,-1.3159656943310483,-4.286470823058933,0.06997817754745483,6134,2450,1.197100043296814,-0.008884426206350327,4900000,0.006273132748901844
125.0,-0.0030166855324343968,-1.275443315096601,-3.93821245493151,0.06596726179122925,6135,2500,1.1937865018844604,0.05507081747055054,5000000,0.03687163442373276
125.0,-0.003422101106190628,-1.5099486920892156,-5.425915911469075,0.06676316261291504,6136,2550,1.194837212562561,0.2699577510356903,5100000,0.07734904438257217
125.0,-0.0032124529594456347,-1.504224087865939,-5.775395180693643,0.05787175893783569,6137,2600,1.1888610124588013,0.3283558785915375,5200000,0.19853077828884125
125.0,-0.0028846686459845887,-1.3928206506816003,-4.137221772395182,0.06863218545913696,6138,2650,1.1857424974441528,-0.07994668185710907,5300000,0.014702918007969856
125.0,-0.0032350647656184603,-1.3501144302233832,-4.245991241313125,0.06577694416046143,6126,2700,1.1825528144836426,-0.01653529889881611,5400000,0.011054466478526592
125.0,-0.0027515064638877545,-1.7594305435221071,-6.248281281149861,0.053225159645080566,6127,2750,1.1703492403030396,-0.2632691264152527,5500000,0.11165065318346024
125.0,-0.004711068190582177,-2.6474055649680186,-6.608545944597289,0.0555652379989624,6129,2800,1.1702303886413574,-0.6626229882240295,5600000,0.40994682908058167
125.0,-0.007693065707186811,-1.432922012834089,-4.035170199361442,0.07089608907699585,6130,2850,1.181355357170105,-0.21239805221557617,5700000,0.09713063389062881
125.0,-0.013546699971881779,-1.312526070760709,-3.82134797162114,0.06686234474182129,6131,2900,1.1763643026351929,-0.15953904390335083,5800000,0.05129681155085564
125.0,-0.003488952379794684,-1.6848307425337774,-5.427926707939677,0.05864107608795166,6132,2950,1.181457281112671,-0.22969815135002136,5900000,0.058248940855264664
125.0,-0.002960657945906342,-1.783473465216467,-5.41127607103621,0.05462062358856201,6133,3000,1.1716787815093994,-0.13190171122550964,6000000,0.05913705751299858
125.0,-0.0036793443542020195,-1.5052567279663607,-4.298819700927097,0.06659656763076782,6134,3050,1.1738414764404297,-0.02031533420085907,6100000,0.01052864920347929
125.0,-0.0028706844782127963,-1.5744201605321229,-5.362113765559406,0.05994772911071777,6135,3100,1.1720993518829346,-0.20665672421455383,6200000,0.0944826751947403
125.0,-0.004181486626089533,-1.916709936626902,-7.663543290460941,0.03954595327377319,6136,3150,1.1795778274536133,-0.32488134503364563,6300000,0.18217800557613373
125.0,-0.01403166577497667,-4.004075037349845,-7.700917322169223,0.03424549102783203,6137,3200,1.1664401292800903,0.04785509407520294,6400000,0.09265869855880737
125.0,-0.013287183911236476,-2.213205483186528,-7.68268634469507,0.0512845516204834,6135,3250,1.150523066520691,-0.09345194697380066,6500000,0.05436033383011818
125.0,-0.003415302520455296,-1.754407628513074,-7.504557229018526,0.05183345079421997,6136,3300,1.1483638286590576,0.3584330379962921,6600000,0.21288806200027466
125.0,-0.003462948482105398,-1.723792934307199,-7.439187833266543,0.058538198471069336,6137,3350,1.1375932693481445,-0.19616955518722534,6700000,0.050844039767980576
125.0,-0.005079824101742603,-1.703766098369218,-7.617332864137868,0.04702085256576538,6138,3400,1.1438090801239014,-0.03792751953005791,6800000,0.03828376904129982
125.0,-0.004496595504576293,-2.3300800581457826,-7.548931239224282,0.03698313236236572,6139,3450,1.1443754434585571,0.42676302790641785,6900000,0.3803764283657074
125.0,-0.007567442826904088,-3.5144821012595457,-7.72909792714673,0.03656339645385742,6140,3500,1.1520249843597412,-0.25666454434394836,7000000,0.12048312276601791
125.0,-0.0035391259105164263,-2.4357021393763874,-7.6455664013558895,0.04370748996734619,6141,3550,1.1443963050842285,-0.18875619769096375,7100000,0.07052421569824219
125.0,-0.005219469742123631,-3.0290173531872604,-7.706595935105163,0.043561697006225586,6141,3600,1.1492581367492676,-0.22979775071144104,7200000,0.12321722507476807
125.0,-0.012837308759796412,-2.7550403455222563,-7.669766316163138,0.041912972927093506,6132,3650,1.1731153726577759,-0.47056859731674194,7300000,0.22252555191516876
125.0,-0.003476220713471613,-2.561448404342373,-7.681131637320566,0.039862990379333496,6133,3700,1.17400062084198,-0.11286970227956772,7400000,0.08311886340379715
125.0,-0.007031062947517221,-1.9138277903206937,-7.610177170387801,0.06123846769332886,6134,3750,1.1599705219268799,0.03135975822806358,7500000,0.015632594004273415
125.0,-0.0069984716075205755,-1.5129320167067726,-7.464916359559341,0.06471359729766846,6134,3800,1.1593120098114014,0.30854472517967224,7600000,0.10082275420427322
125.0,-0.007753103428515571,-1.4326125127865899,-3.8295074790057737,0.06492757797241211,6135,3850,1.1546523571014404,0.20894533395767212,7700000,0.043899159878492355
