misc/approxkl,misc/clipfrac,misc/explained_variance,misc/fps,misc/nupdates,misc/policy_entropy,misc/policy_loss,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,misc/value_loss,stats/eplenmean,stats/eprewmax,stats/eprewmean,stats/eprewmin
0.001042948,0.0052500004,-0.0021665096282958984,9436,1,1.4188173,88.20389,125,0.21193533018231392,2000,4498.8506,125.0,-3.818456509187859,-5.973810216414393,-9.197461528173593
0.003268077,0.02975,0.0016015172004699707,12253,50,1.6508502,86.63175,6250,7.358480138704181,100000,4297.756,125.0,-3.0050509937777004,-6.1957343458886776,-9.197461528173593
0.002368543,0.023125,0.000517725944519043,12466,100,1.7234762,92.09575,12500,15.349201388657093,200000,4807.161,125.0,-3.3117337540606084,-6.200717005444776,-9.333694845575213
0.00017994143,0.0,0.00013774633407592773,12446,150,1.9561394,75.279526,18750,23.362699316814542,300000,3227.52,125.0,-3.0757644821595247,-6.170617447803645,-9.22105351185914
0.0031916327,0.030875001,7.75456428527832e-05,12514,200,2.1546977,76.37474,25000,31.35477448068559,400000,3282.2795,125.0,-3.678231492212998,-6.360808665119022,-9.24536873850117
0.0007261207,0.00025,0.00014704465866088867,12391,250,2.2527075,67.736374,31250,39.34858134761453,500000,2608.99,125.0,-3.144391294388298,-6.286311149017841,-9.191404049952661
0.003347263,0.039750002,0.0024767518043518066,12702,300,2.3755374,66.052216,37500,47.379404457286,600000,2575.4255,125.0,-3.688189157580162,-6.150547795439068,-9.300824856269799
0.00032862928,0.000375,0.006403207778930664,12385,350,2.4977157,56.90117,43750,55.39898977801204,700000,1979.7056,125.0,-3.054011155148979,-6.136409173137531,-9.138174264704459
0.0006736866,0.0017499999,0.011365413665771484,12813,400,2.5966902,65.358086,50000,63.462284648790956,800000,2504.4016,125.0,-3.0598122032739967,-6.218759865548366,-9.21669897305593
0.00049445895,0.0,0.018455207347869873,12102,450,2.7374806,58.446682,56250,71.46231720596552,900000,2062.5251,125.0,-3.9026306951273777,-6.238743785069302,-9.186728566171215
4.6537003e-05,0.0,0.08305805921554565,12747,500,2.7028718,49.337967,62500,79.44140070863068,1000000,1566.2863,125.0,-3.0492255633983345,-6.261784230902638,-9.174897039784268
0.00055155915,0.0,0.10078543424606323,12448,550,2.761718,44.13331,68750,87.3991182539612,1100000,1434.3942,125.0,-3.703913122807238,-6.1637905283839265,-9.231288524017675
1.559981e-05,0.0,0.12639516592025757,12605,600,2.8203986,44.704845,75000,95.3739331420511,1200000,1332.3417,125.0,-2.9745714033721478,-6.163114227482845,-9.099775764611435
0.00026780012,0.0,0.2398996353149414,12341,650,2.8509116,36.605923,81250,103.35181893780828,1300000,1115.9979,125.0,-3.0907513355185827,-6.235907809270466,-9.233149209968017
7.193623e-05,0.0,0.3124246597290039,12520,700,2.8723814,34.860165,87500,111.3278377763927,1400000,867.1431,125.0,-3.4126354858252705,-6.239525630608568,-9.079913807176634
5.8080688e-05,0.0,0.44405728578567505,12400,750,2.886236,20.862724,93750,119.29066465981305,1500000,442.31866,125.0,-3.0279566604318324,-6.196509941422425,-9.130818792111723
1.8005528e-06,0.0,0.48751503229141235,12739,800,2.923103,20.749443,100000,127.36319773644209,1600000,420.02902,125.0,-3.017960437865503,-6.059962649501849,-9.32053134147366
3.8040146e-06,0.0,0.5851233899593353,12356,850,2.9160051,18.75672,106250,135.35664901323617,1700000,449.84427,125.0,-3.2958527400453703,-6.145311026361843,-9.288466643309427
0.0002515693,0.0,0.5885570347309113,12874,900,2.9669466,22.568422,112500,143.32178168185055,1800000,465.57098,125.0,-3.324706299151472,-6.184453592343101,-9.226255773770163
4.662298e-06,0.0,0.7595316022634506,12818,950,2.9481266,21.356173,118750,151.30674150586128,1900000,448.2949,125.0,-2.9797023682748627,-6.1168975002047254,-9.407295432872088
0.00020756436,0.0,0.8280204087495804,12008,1000,2.9177794,8.959794,125000,159.2642001528293,2000000,220.97192,125.0,-3.172569700615237,-6.024831011346645,-9.147917982945357
5.3531938e-05,0.0,0.8821048215031624,12280,1050,2.863625,3.4099283,131250,167.25075598061085,2100000,192.36966,125.0,-3.0029895997751037,-5.840492891514424,-9.19412949406949
0.0012413056,0.003,0.9053473398089409,12312,1100,2.739078,4.859704,137500,175.24583378061652,2200000,353.94727,125.0,-2.1694021904920295,-5.612892182540102,-9.171758688544902
0.0016611251,0.01325,0.9096101447939873,12551,1150,2.243226,-27.901634,143750,183.21811562217772,2300000,1008.24243,125.0,-0.014030948247940473,-4.163092990705984,-9.294762024330707
0.0020644583,0.015250001,0.8861185759305954,12315,1200,1.8200715,-22.974909,150000,191.22219305671751,2400000,435.9899,125.0,-0.008103088547924426,-2.0491021117229935,-8.780589254192282
0.0065548806,0.0365,0.8466335833072662,12267,1250,1.5241892,-4.258065,156250,199.16297475621104,2500000,303.94522,125.0,-0.005211103880032207,-1.5480475437858439,-5.281877592301078
0.0005193843,0.00275,0.9825369026511908,12538,1300,1.3701653,-1.6875242,162500,207.23107695020735,2600000,28.84111,125.0,-0.004335461336479278,-1.4103776453323624,-4.6850940390742055
0.0059226286,0.044875,0.9440318308770657,12214,1350,1.3415315,3.4945238,168750,215.25215397402644,2700000,104.61594,125.0,-0.004921916471823937,-1.3512375369195027,-5.284741261694774
0.0064736507,0.082,0.9530702643096447,12253,1400,1.3576385,2.1882944,175000,223.2883090581745,2800000,80.69234,125.0,-0.00409975456141003,-1.394574323488326,-5.210044711616256
